id,transcript,emotion
005063,tôi còn sống chứ chưa có chết,happy
000637,kêu mở cửa đâu có chịu mở đâu không có mùi bia rượu đúng không,neutral
002604,không phải,neutral
007921,chắc tôi đã quên ở shop Bảo Yến rồi,neutral
004229,à đứa đi cướp giật của người ta bị bắt,neutral
000360,đau hết cả lưng rồi,neutral
006439,tôi là Vương Hoàng đây cô còn nhớ tôi không,neutral
002979,siêu chưa,happy
005938,nghỉ bán một ngày thôi,happy
007127,anh mà kêu tôi là chó này chó nọ nữa là tôi cũng kêu anh là thằng chó đó,angry
000870,tối mai tôi cũng về trễ và tôi cũng có chuyện quan trọng cần làm,angry
007419,anh Hiều là người tốt,neutral
006003,thật ra,neutral
004343,trời ơi,surprise
007478,thôi để về nhà tính sau vậy,neutral
006338,cảnh hôn là cảnh quan trọng nhất,neutral
003708,giỡn thôi,happy
004396,và những cô gái đang đeo bám tôi,neutral
003697,mà trúc dám để tôi ở nhà một mình với ông,angry
002801,tám mươi lăm ngàn lăm,neutral
007649,không,neutral
000677,cô tới đó làm gì,angry
003789,đừng có khóc nữa,angry
008212,làm quá trời luôn cô kêu làm chút xíu,angry
003487,chị có thấy chị làm vậy là quá đáng không,angry
006771,mà Trúc mang cái xe đi sửa giùm tôi nha,neutral
003456,cô đi về đi nha,neutral
002697,để lấy đồ ra,neutral
005908,anh cũng ăn cơm mà,neutral
003737,rồi bỗng dưng,neutral
003842,đúng đúng,happy
003551,ý anh nói là cái gì làm em sợ nhất,neutral
003536,tôi giận ba tôi lắm,sad
005241,cách gì vậy,surprise
002529,trời ơi,happy
007685,"mà không biết số , tại sao không gọi điện thoại hỏi chồng",neutral
004824,"tuần sau , anh sẽ chuyển sang nhà khác sống rồi",sad
001662,cô ngủ rồi hả,neutral
000796,"anh nghĩ rằng , anh làm như vậy , thì anh sẽ có được minh minh sao",neutral
006414,ba mẹ muốn ăn gì để con mua vào ạ,neutral
000104,sáng nay ngủ dậy đã gặp đủ thứ chuyện rắc rối rồi giờ thêm cô nữa,angry
005585,à không,neutral
004224,tôi sẽ xóa liền với một điều kiện,neutral
003742,đi đâu chứ,neutral
005268,tôi thua cô,sad
000284,nói thiệt từ ngày đi bán xách cũ với trúc,neutral
003671,mà cũng không bằng cái mũi hỉnh của cô đâu,neutral
004711,trúc,neutral
007920,đơn giản à,neutral
001036,cái gì,surprise
006587,quá trời luôn á,angry
000169,là được trả công có ngàn rưỡi một ngày thôi hả,neutral
000159,mệt cũng đi tập luôn đi đi,angry
006612,xòe đôi cánh,sad
003391,và lắm mồm,angry
007934,tôi không làm đâu anh tháo giùm tôi,neutral
006058,"tự nhiên anh mất hứng , không muốn đi bơi nữa",sad
005727,đi ha,neutral
007216,cùng đường lắm á,neutral
004360,thì vai nữ chính sẽ thuộc về ngô đồng,neutral
001991,nói nhảm nhí cái gì vậy,angry
006310,mà cô còn tới nhà méc cái vụ đó,angry
002240,được rồi,angry
004743,thì cô đừng có nói chuyện với tôi,angry
001768,chỉ vi thầy là người duy nhất trong số các thầy cô gặp em,angry
003989,nên chỉ còn giữ lại được giấy tờ tùy thân máy ảnh máy tính,neutral
007591,suy nghĩ kĩ đi,neutral
001485,đúng không,angry
001909,dạ,neutral
005112,vô duyên,angry
004568,mai gặp em nha,neutral
000825,sáng nay tỉnh dậy,angry
000392,a lô trời,neutral
001921,ừ ha,neutral
003890,vừa mới nói là xài tiền khó mà,neutral
004427,hồi đi học đó hả,neutral
006328,chứ cô đừng có nhắc tới họ nữa,angry
003623,dậy sớm vậy ta,surprise
003519,ai thèm quan tâm chứ,angry
004454,con đi ra ngoài một chút cho thoải mái đầu óc ạ,neutral
002310,cô sẽ viết một kịch bản tuyệt vời,neutral
006113,gì muốn mua hả,neutral
005936,thì tôi định tổ chức một buổi tiệc ăn mừng kịch bản đầu tay của cô hoàn thành,neutral
007643,rồi chờ tôi lọt bẫy chửi tôi khéo tôi đúng không,neutral
005043,ai biểu cô chờ chứ,neutral
001763,thì có thể vô trong kia,neutral
005430,cô có biết cô gái hồi nãy tôi tát là ai không,neutral
004636,mà bây giờ tôi là ăn mày thiệt rồi chứ còn giống gì nữa,neutral
004515,quá nặng luôn á,sad
