id,transcript
1,đấy thì à
10,bây_giờ mình sẽ
100,đẩy ra
1000,mình sẽ chạy cái thị_trấn này
1001,mình cảm_thấy rảnh tay dã_man luôn á mình không cần phải có cái điện_thoại để đeo ở đây mà mình chỉ có cái đồng_hồ như_thế_này xong rồi mình cắm một cái tai_nghe như_thế_này mà mình có_thể đi tập chạy như_thế_này cảm_giác rất là ngầu đúng không giống như_là mấy chị mà quảng_cáo đồ tập á
1002,cho_nên là
1004,nếu_mà làm sốt cà_chua tươi là ngon nhất thì mình thích cái mì ý này với
1005,suốt cà_chua tươi này mình không cần tôm ở trong này nữa kể cả
1006,ở đây chỉ có nấm với cả rau chăn vịt cũng rất là ngon mà mình nghĩ là cũng cực_kỳ dễ làm các bạn
1008,lúc đầu á cho nó ăn
1009,bây_giờ vẫn thế
101,cái phía trước của cái mũi chân của mình và các bạn góp_ý như_thế là rất là không tốt cho xương khớp
1010,cho nó ăn cái miếng gì là nó nhào vô ngay_lập_tức nó không cần biết đấy là cái gì hết á
1011,nó đói là nó nhào vô nó ăn ngay
1012,như hai bả sung mà tuyết không
1013,cho ăn cái gì mà ngủ ngủ cha nổi chê nhiều lúc mà mà mình cứ cầm cái miếng đồ_ăn này
1014,xong mà nó cứ ngửi
1016,tập_thể_dục cùng nhau nhá các bạn đã sẵn_sàng chưa khoảng hai tuần trước thì mình đã làm một cái vi_đi_ô tập_thể_dục như_là các bạn có thể
1017,xem mình sẽ để ở cái màn_hình để gợi nhắc các bạn ở đâu_đấy ở bên này và trong cái vi_đi_ô đó thì
1018,cái cơ_thể con_người ấy
102,mà khi mà chúng_mình à khuỵu chân ra đằng sau thì cái gối nó phải vuông_góc và á
1020,và trong những cái năm mà mình học vẽ thì mình cũng đạt được một_số cái thành_công nhất_định ví_dụ như_là mình cũng được triển_lãm tranh này rồi tranh mình cũng được đưa vào sách_giáo_khoa này rồi à
1021,mình cũng được một_số cái học bổng
1022,tuy_nhiên trong tất_cả các cuộc_thi vẽ mà mình từng tham_gia mình tham_gia rất là nhiều các cuộc_thi vẽ
1023,chưa bao_giờ mình được bất_cứ một cái giải gì kể_cả giải khuyến_khích mình cũng không
1024,mình sẽ đánh luôn lên_mặt mình bây_giờ để các bạn có_thể thấy được là cái ao cờ lát này nó như_thế nào
1025,và nếu_mà các bạn muốn tìm mua thì các bạn cũng có_thể mua
1026,này đây là phòng của chồng mình
1027,phòng của chồng mình thì hiện_nay đang rất bừa tại vì sau khi mà chồng mình quay cái rum tua cho các bạn xem các bạn có_thể sang kênh anh bạn_thân để coi cái rum tua của cái phòng này nha
1028,à có hai yếu_tố cái thứ nhất là
1029,các bạn ý sang bên đó các bạn trả dần
103,cái gối nó không_bao_giờ được vượt quá cái ngón chân thì đó thì mình xin cảm_ơn cái góp_ý của tất_cả các bạn và nếu_mà các bạn tập cái động_tác đó thì mình hy_vọng là tất_cả chúng_mình sẽ đều nhớ là cái đầu_gối sẽ phải lùi
